Left Inverter Address Claim Timestamp (ms),16777215
Right Inverter Address Claim Timestamp (ms),65535
Left Inverter Invalid to Valid Timestamp (ms),0
Left Inverter Invalid to Valid Timestamp (ms),0

Time Stamp (ms),Left Motor Speed,Right Motor Speed,Left Motor Torque,Right Motor Torque,Left Motor Speed Estimate,Right Motor Speed Estimate
43.967,16767.5,16767.5,1002.1201171875,1002.1201171875,0.0,0.0
48.967,16767.5,16767.5,1002.1201171875,1002.1201171875,0.0,0.0
53.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1092.0,-1092.5
58.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1666.0,-1666.5
63.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1964.5,-1965.0
68.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2115.5,-2116.0
73.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2188.5,-2189.0
78.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2220.0,-2220.5
83.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2229.5,-2230.0
88.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2228.0,-2228.5
93.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2220.0,-2220.5
98.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2209.5,-2210.0
103.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2197.0,-2197.5
108.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2184.5,-2185.0
113.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2172.0,-2172.5
118.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2159.5,-2160.0
123.967,16767.5,16767.5,1002.1201171875,1002.1201171875,2147.0,-2147.5
128.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2135.0,-2135.5
133.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2123.5,-2124.0
138.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2112.0,-2112.5
143.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2101.0,-2101.5
148.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2090.5,-2091.0
153.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2080.0,-2080.5
158.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2070.0,-2070.5
163.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2060.5,-2061.0
168.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2051.0,-2051.5
173.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2042.0,-2042.5
178.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2033.0,-2033.5
183.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2024.5,-2025.0
188.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2016.0,-2016.5
193.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2008.0,-2008.5
198.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,2000.5,-2000.5
203.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,1992.5,-1993.0
208.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,1985.5,-1986.0
213.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,1978.5,-1979.0
218.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,1971.5,-1972.0
223.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,1964.5,-1965.0
228.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,1958.5,-1959.0
233.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,1952.0,-1952.5
238.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,1946.0,-1946.5
243.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,1940.0,-1940.5
248.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,1934.5,-1935.0
253.96699999999998,16767.5,16767.5,1002.1201171875,1002.1201171875,1929.0,-1929.5
258.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1923.5,-1924.0
263.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1918.5,-1919.0
268.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1913.5,-1914.0
273.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1908.5,-1909.0
278.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1903.5,-1904.0
283.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1899.0,-1899.5
288.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1894.5,-1895.0
293.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1890.5,-1891.0
298.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1886.5,-1886.5
303.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1882.0,-1882.5
308.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1878.5,-1879.0
313.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1874.5,-1875.0
318.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1871.0,-1871.5
323.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1867.5,-1868.0
328.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1864.0,-1864.5
333.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1860.5,-1861.0
338.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1857.5,-1857.5
343.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1854.0,-1854.5
348.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1851.0,-1851.5
353.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1848.0,-1848.5
358.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1845.5,-1846.0
363.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1842.5,-1843.0
368.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1840.0,-1840.5
373.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1837.5,-1837.5
378.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1834.5,-1835.0
383.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1832.5,-1833.0
388.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1830.0,-1830.5
393.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1827.5,-1828.0
398.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1825.5,-1826.0
403.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1823.5,-1823.5
408.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1821.0,-1821.5
413.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1819.0,-1819.5
418.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1817.0,-1817.5
423.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1815.5,-1816.0
428.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1813.5,-1814.0
433.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1811.5,-1812.0
438.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1810.0,-1810.5
443.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1808.0,-1808.5
448.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1806.5,-1807.0
453.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1805.0,-1805.5
458.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1803.5,-1804.0
463.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1802.0,-1802.5
468.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1800.5,-1801.0
473.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1799.0,-1799.5
478.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1798.0,-1798.5
483.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1796.5,-1797.0
488.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1795.5,-1796.0
493.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1794.0,-1794.5
498.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1793.0,-1793.5
503.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1792.0,-1792.0
508.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1790.5,-1791.0
513.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1789.5,-1790.0
518.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1788.5,-1789.0
523.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1787.5,-1788.0
528.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1786.5,-1787.0
533.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1785.5,-1786.0
538.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1784.5,-1785.0
543.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1784.0,-1784.0
548.967,16767.5,16767.5,1002.1201171875,1002.1201171875,1783.0,-1783.5
